Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2018-01-01;BASF SE ORD;DE000BASF111;84261235388.0;84.5268;A;Basic Materials;DAX;2018-01-02;2018-12-31;True;Top;7;0.0;10
2018-01-01;CONTINENTAL ORD;DE0005439004;30598886138.0;83.9153;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;8;0.0;10
2018-01-01;BMW AG;DE0005190003;56384981983.0;83.6821;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;9;5.192356294374115e-17;10
2018-01-01;INFINEON TECHNOLOGIES ORD;DE0006231004;25948161749.0;82.9913;A-;Technology;DAX;2018-01-02;2018-12-31;True;Top;10;0.0;10
2019-01-01;WIRECARD ORD;DE0007472060;16298300793.0;31.5278;C-;Industrials;DAX;2019-01-02;2019-12-31;True;Bottom;1;4.769219009515338e-17;10
2019-01-01;BEIERSDORF ORD;DE0005200000;22972320000.0;60.9378;B;Consumer Non-Cyclicals;DAX;2019-01-02;2019-12-31;True;Bottom;2;5.590417451878382e-19;10
2019-01-01;RWE ST A ORD;DE0007037129;10919013389.0;67.9465;B+;Utilities;DAX;2019-01-02;2019-12-31;True;Bottom;3;1.4074299451577454e-17;10
2019-01-01;THYSSEN-KRUPP ORD;DE0007500001;7004784423.0;70.5769;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;4;0.03677912531527984;10
2019-01-01;HENKEL& KGAA PRF;DE0006048432;39274234556.0;70.6218;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;5;0.18863813237985635;10
2019-01-01;DT BOERSE N;DE0005810055;19940500000.0;73.1658;B+;Financials;DAX;2019-01-02;2019-12-31;True;Bottom;6;0.22130291156637202;10
2019-01-01;VONOVIA SE;DE000A1ML7J1;20510698766.0;73.3984;B+;Real Estate;DAX;2019-01-02;2019-12-31;True;Bottom;7;0.25296352120231874;10
2019-01-01;COVESTRO ORD;DE0006062144;7892790000.0;73.9519;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;8;0.0012267671304126463;10
2019-01-01;E.ON ORD;DE000ENAG999;18988881073.0;74.4683;B+;Utilities;DAX;2019-01-02;2019-12-31;True;Bottom;9;0.19305655900664723;10
2019-01-01;FRESENIUS SE ORD;DE0005785604;23572822027.0;75.1372;A-;Healthcare;DAX;2019-01-02;2019-12-31;True;Bottom;10;0.10603298339911323;10
2019-01-01;ALLIANZ SE ORD;DE0008404005;74339865028.0;94.8834;A+;Financials;DAX;2019-01-02;2019-12-31;True;Top;1;0.32438542166165113;10
2019-01-01;DAIMLER ORD;DE0007100000;41137255782.0;93.6784;A+;Consumer Cyclicals;DAX;2019-01-02;2019-12-31;True;Top;2;0.2925524855189062;10
2019-01-01;SAP SE ORD;DE0007164600;106000000000.0;93.5594;A+;Technology;DAX;2019-01-02;2019-12-31;True;Top;3;0.3195883960274262;10
2019-01-01;BASF SE ORD;DE000BASF111;55476113118.0;90.1543;A;Basic Materials;DAX;2019-01-02;2019-12-31;True;Top;4;0.0;10
2019-01-01;BAYER AG;DE000BAY0017;56475346940.0;89.7331;A;Healthcare;DAX;2019-01-02;2019-12-31;True;Top;5;0.0;10
2019-01-01;ADIDAS ORD;DE000A1EWWW0;36555912326.0;86.2059;A;Consumer Cyclicals;DAX;2019-01-02;2019-12-31;True;Top;6;3.9412081126688706e-17;10
2019-01-01;MUNICH RE ORD;DE0008430026;28494556792.0;85.6971;A;Financials;DAX;2019-01-02;2019-12-31;True;Top;7;0.0;10
