Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_RP;RP_NumAssets
2017-01-01;ALLIANZ SE ORD;DE0008404005;71749000000.0;86.6479;A;Financials;DAX;2017-01-02;2017-12-29;True;Top;5;0.09043435066965926;10
2017-01-01;CONTINENTAL ORD;DE0005439004;24976740357.0;84.4767;A;Consumer Cyclicals;DAX;2017-01-02;2017-12-29;True;Top;6;0.085581276473735;10
2017-01-01;BASF SE ORD;DE000BASF111;81110853467.0;83.7845;A;Basic Materials;DAX;2017-01-02;2017-12-29;True;Top;7;0.10292782431443416;10
2017-01-01;SIEMENS ORD;DE0007236101;89496948800.0;83.5155;A;Industrials;DAX;2017-01-02;2017-12-29;True;Top;8;0.10111265601202137;10
2017-01-01;BAYER AG;DE000BAY0017;81975339616.0;82.9239;A-;Healthcare;DAX;2017-01-02;2017-12-29;True;Top;9;0.10153348140940617;10
2017-01-01;DEUTSCHE POST ORD;DE0005552004;38760007606.0;82.871;A-;Industrials;DAX;2017-01-02;2017-12-29;True;Top;10;0.09983768526095045;10
2018-01-01;BEIERSDORF ORD;DE0005200000;24670800000.0;59.2129;B;Consumer Non-Cyclicals;DAX;2018-01-02;2018-12-31;True;Bottom;1;0.11555643733568409;10
2018-01-01;VONOVIA SE;DE000A1ML7J1;20078316368.0;60.3076;B;Real Estate;DAX;2018-01-02;2018-12-31;True;Bottom;2;0.15349538137284377;10
2018-01-01;FRESENIUS SE ORD;DE0005785604;36092159696.0;64.3046;B;Healthcare;DAX;2018-01-02;2018-12-31;True;Bottom;3;0.09750315542498757;10
2018-01-01;E.ON ORD;DE000ENAG999;19944158039.0;66.9292;B+;Utilities;DAX;2018-01-02;2018-12-31;True;Bottom;4;0.07999165137295662;10
2018-01-01;PROSIEBENSAT.1 MEDIA SE;DE000PSM7770;6688265000.0;68.2493;B+;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Bottom;5;0.08864253052481355;10
2018-01-01;RWE ST A ORD;DE0007037129;9329453761.0;70.0248;B+;Utilities;DAX;2018-01-02;2018-12-31;True;Bottom;6;0.06159672124282003;10
2018-01-01;THYSSEN-KRUPP ORD;DE0007500001;11323154511.0;71.426;B+;Basic Materials;DAX;2018-01-02;2018-12-31;True;Bottom;7;0.08575426661359874;10
2018-01-01;HENKEL& KGAA PRF;DE0006048432;45639860756.0;71.8511;B+;Basic Materials;DAX;2018-01-02;2018-12-31;True;Bottom;8;0.10762380035759404;10
2018-01-01;DT BOERSE N;DE0005810055;18682400000.0;72.1851;B+;Financials;DAX;2018-01-02;2018-12-31;True;Bottom;9;0.1272932997064843;10
2018-01-01;LUFTHANSA ORD;DE0008232125;14477090128.0;72.7059;B+;Industrials;DAX;2018-01-02;2018-12-31;True;Bottom;10;0.08254275604821731;10
2018-01-01;SAP SE ORD;DE0007164600;114000000000.0;93.7259;A+;Technology;DAX;2018-01-02;2018-12-31;True;Top;1;0.11111594949491484;10
2018-01-01;DAIMLER ORD;DE0007100000;63439722686.0;91.0398;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;2;0.11426443259339589;10
2018-01-01;MUNICH RE ORD;DE0008430026;28021294371.0;86.1277;A;Financials;DAX;2018-01-02;2018-12-31;True;Top;3;0.11727253284392097;10
2018-01-01;ALLIANZ SE ORD;DE0008404005;84307807209.0;86.0753;A;Financials;DAX;2018-01-02;2018-12-31;True;Top;4;0.10596474123562304;10
2018-01-01;ADIDAS ORD;DE000A1EWWW0;34970485490.0;85.9114;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;5;0.09360148234507001;10
2018-01-01;BAYER AG;DE000BAY0017;86002575917.0;84.8656;A;Healthcare;DAX;2018-01-02;2018-12-31;True;Top;6;0.0985567420827989;10
2018-01-01;BASF SE ORD;DE000BASF111;84261235388.0;84.5268;A;Basic Materials;DAX;2018-01-02;2018-12-31;True;Top;7;0.09066322137185262;10
2018-01-01;CONTINENTAL ORD;DE0005439004;30598886138.0;83.9153;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;8;0.09948251979799076;10
2018-01-01;BMW AG;DE0005190003;56384981983.0;83.6821;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;9;0.09795602620143054;10
2018-01-01;INFINEON TECHNOLOGIES ORD;DE0006231004;25948161749.0;82.9913;A-;Technology;DAX;2018-01-02;2018-12-31;True;Top;10;0.07112235203300253;10
2019-01-01;WIRECARD ORD;DE0007472060;16298300793.0;31.5278;C-;Industrials;DAX;2019-01-02;2019-12-31;True;Bottom;1;0.05414588930409655;10
2019-01-01;BEIERSDORF ORD;DE0005200000;22972320000.0;60.9378;B;Consumer Non-Cyclicals;DAX;2019-01-02;2019-12-31;True;Bottom;2;0.1424362392725129;10
2019-01-01;RWE ST A ORD;DE0007037129;10919013389.0;67.9465;B+;Utilities;DAX;2019-01-02;2019-12-31;True;Bottom;3;0.08865642565730661;10
2019-01-01;THYSSEN-KRUPP ORD;DE0007500001;7004784423.0;70.5769;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;4;0.08398173072437974;10
2019-01-01;HENKEL& KGAA PRF;DE0006048432;39274234556.0;70.6218;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;5;0.12188359402275036;10
2019-01-01;DT BOERSE N;DE0005810055;19940500000.0;73.1658;B+;Financials;DAX;2019-01-02;2019-12-31;True;Bottom;6;0.12434220993912923;10
2019-01-01;VONOVIA SE;DE000A1ML7J1;20510698766.0;73.3984;B+;Real Estate;DAX;2019-01-02;2019-12-31;True;Bottom;7;0.12651295806500013;10
2019-01-01;COVESTRO ORD;DE0006062144;7892790000.0;73.9519;B+;Basic Materials;DAX;2019-01-02;2019-12-31;True;Bottom;8;0.06952885575824944;10
2019-01-01;E.ON ORD;DE000ENAG999;18988881073.0;74.4683;B+;Utilities;DAX;2019-01-02;2019-12-31;True;Bottom;9;0.1104157023307078;10
2019-01-01;FRESENIUS SE ORD;DE0005785604;23572822027.0;75.1372;A-;Healthcare;DAX;2019-01-02;2019-12-31;True;Bottom;10;0.07809639492586741;10
2019-01-01;ALLIANZ SE ORD;DE0008404005;74339865028.0;94.8834;A+;Financials;DAX;2019-01-02;2019-12-31;True;Top;1;0.09638383415371776;10
2019-01-01;DAIMLER ORD;DE0007100000;41137255782.0;93.6784;A+;Consumer Cyclicals;DAX;2019-01-02;2019-12-31;True;Top;2;0.09232185131903828;10
2019-01-01;SAP SE ORD;DE0007164600;106000000000.0;93.5594;A+;Technology;DAX;2019-01-02;2019-12-31;True;Top;3;0.09546166530238329;10
2019-01-01;BASF SE ORD;DE000BASF111;55476113118.0;90.1543;A;Basic Materials;DAX;2019-01-02;2019-12-31;True;Top;4;0.08839174860274393;10
2019-01-01;BAYER AG;DE000BAY0017;56475346940.0;89.7331;A;Healthcare;DAX;2019-01-02;2019-12-31;True;Top;5;0.08021711361694946;10
