Period;Index;PortfolioSide;Strategy;NumObservations;CumulativeReturn;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown
2015-2024;DAX;TopMinusBottom;BuyHold_Equal;2542;32.4;2.82;12.33;0.151;1.17;-31.5
2015-2024;DAX;TopMinusBottom;BuyHold_MCap;2542;4.19;0.41;12.9;-0.034;1.26;-25.35
2015-2024;SP100;Benchmark;Benchmark_Equal;2516;216.38;12.23;17.11;0.662;1.58;-34.74
2015-2024;SP100;Benchmark;Benchmark_MCap;2442;262.36;14.21;18.18;0.73;1.67;-31.53
2015-2024;SP100;Bottom;Annual_BlackLitterman;2264;173.99;11.87;19.75;0.573;1.77;-38.94
2015-2024;SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2197;-22.34;-2.86;12.54;-0.317;1.27;-40.07
2015-2024;SP100;Bottom;Annual_Equal;2516;246.89;13.27;18.62;0.673;1.76;-32.41
2015-2024;SP100;Bottom;Annual_Equal_MinusBenchmark;2516;9.55;0.92;7.43;-0.065;0.72;-15.91
2015-2024;SP100;Bottom;Annual_MCap;2516;267.26;13.92;18.55;0.706;1.71;-29.53
2015-2024;SP100;Bottom;Annual_MCap_MinusBenchmark;2442;11.17;1.1;8.49;-0.026;0.83;-18.11
2015-2024;SP100;Bottom;Annual_RiskParity;2264;202.94;13.13;18.49;0.66;1.71;-33.37
2015-2024;SP100;Bottom;Annual_RiskParity_MinusBenchmark;2197;-7.75;-0.92;9.0;-0.265;0.93;-29.16
2015-2024;SP100;Bottom;BuyHold_Equal;2516;235.54;12.89;19.01;0.646;1.73;-38.71
2015-2024;SP100;Bottom;BuyHold_Equal_MinusBenchmark;2516;6.86;0.67;7.37;-0.1;0.68;-13.41
2015-2024;SP100;Bottom;BuyHold_MCap;2516;312.37;15.25;19.46;0.741;1.72;-34.06
2015-2024;SP100;Bottom;BuyHold_MCap_MinusBenchmark;2442;21.9;2.06;8.04;0.086;0.72;-16.22
2015-2024;SP100;Top;Annual_BlackLitterman;2264;339.7;17.92;21.66;0.784;1.99;-30.08
2015-2024;SP100;Top;Annual_BlackLitterman_MinusBenchmark;2197;33.48;3.37;11.09;0.186;1.06;-27.2
2015-2024;SP100;Top;Annual_Equal;2516;153.26;9.75;17.76;0.519;1.59;-30.83
2015-2024;SP100;Top;Annual_Equal_MinusBenchmark;2516;-20.78;-2.31;6.54;-0.58;0.65;-35.32
2015-2024;SP100;Top;Annual_MCap;2516;361.15;16.54;20.23;0.776;1.94;-28.94
2015-2024;SP100;Top;Annual_MCap_MinusBenchmark;2442;43.2;3.78;8.12;0.291;0.73;-17.49
2015-2024;SP100;Top;Annual_RiskParity;2264;132.06;9.82;17.41;0.519;1.51;-30.54
2015-2024;SP100;Top;Annual_RiskParity_MinusBenchmark;2197;-30.12;-4.03;8.84;-0.631;0.9;-36.03
2015-2024;SP100;Top;BuyHold_Equal;2516;186.24;11.11;18.11;0.58;1.69;-28.74
2015-2024;SP100;Top;BuyHold_Equal_MinusBenchmark;2516;-10.4;-1.09;7.32;-0.342;0.73;-33.73
2015-2024;SP100;Top;BuyHold_MCap;2516;328.32;15.69;20.36;0.735;1.94;-28.97
