Date;Index;PortfolioSide;Strategy;PortfolioReturn
2016-05-24;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008030769603861256
2016-05-25;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004151174404129691
2016-05-26;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0014338718574075284
2016-05-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002588992718442825
2016-05-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.00035615930527414753
2016-05-31;DAX;TopMinusBottom;Annual_BlackLitterman;0.0027153350251229785
2016-06-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.011654144099407852
2016-06-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.017639992368514053
2016-06-03;DAX;TopMinusBottom;Annual_BlackLitterman;0.009119901802590279
2016-06-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0007542741862916458
2016-06-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.009019111689120719
2016-06-08;DAX;TopMinusBottom;Annual_BlackLitterman;0.005635733885075235
2016-06-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.000960332124048815
2016-06-10;DAX;TopMinusBottom;Annual_BlackLitterman;0.011809276637227275
2016-06-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.0034393810494141724
2016-06-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0006464124534710444
2016-06-15;DAX;TopMinusBottom;Annual_BlackLitterman;-0.001584023535107719
2016-06-16;DAX;TopMinusBottom;Annual_BlackLitterman;0.005428921478563292
2016-06-17;DAX;TopMinusBottom;Annual_BlackLitterman;-4.838343413252587e-05
2016-06-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.002631481658993462
2016-06-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.0008763374558679437
2016-06-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0051180772209887685
2016-06-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010390806265318702
2016-06-24;DAX;TopMinusBottom;Annual_BlackLitterman;0.02137509163977583
2016-06-27;DAX;TopMinusBottom;Annual_BlackLitterman;0.022470785725446626
2016-06-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.010845561654243783
2016-06-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0019782795128944868
2016-06-30;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0010679925414636285
2016-07-01;DAX;TopMinusBottom;Annual_BlackLitterman;-0.015555250540587809
2016-07-04;DAX;TopMinusBottom;Annual_BlackLitterman;0.004081815937653789
2016-07-05;DAX;TopMinusBottom;Annual_BlackLitterman;0.013199236748027334
2016-07-06;DAX;TopMinusBottom;Annual_BlackLitterman;0.04034082974134877
2016-07-07;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008251313106806357
2016-07-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004669930027993888
2016-07-11;DAX;TopMinusBottom;Annual_BlackLitterman;0.010418974003384889
2016-07-12;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0077600200340167316
2016-07-13;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002493168998823557
2016-07-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0022500395885548695
2016-07-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.010664166278468175
2016-07-18;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002093989711558838
2016-07-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.016369538260540984
2016-07-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.02968698513688168
2016-07-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.024080995670759338
2016-07-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.0002404815802128338
2016-07-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.0030437339455804367
2016-07-26;DAX;TopMinusBottom;Annual_BlackLitterman;0.009350430933347368
2016-07-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0034161445763140307
2016-07-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.012292846155721774
2016-07-29;DAX;TopMinusBottom;Annual_BlackLitterman;0.0028514109850120394
2016-08-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.008476685909199524
