Index;PortfolioSide;Strategy;Year;AnnualReturn
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2019;-0.03138311656947579
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2020;-0.11278455476419802
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2021;-0.11012171335614018
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2022;0.1850015066636863
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2023;0.015830823883268064
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2024;0.014502787572733045
DAX;Top;Annual_BlackLitterman;2016;0.3069610630412811
DAX;Top;Annual_BlackLitterman;2017;0.1334917276463441
DAX;Top;Annual_BlackLitterman;2018;-0.08143239602317298
DAX;Top;Annual_BlackLitterman;2019;0.30006198821117036
DAX;Top;Annual_BlackLitterman;2020;-0.042095695715699266
DAX;Top;Annual_BlackLitterman;2021;0.020829589527311176
DAX;Top;Annual_BlackLitterman;2022;-0.08938382860612193
DAX;Top;Annual_BlackLitterman;2023;0.1494264080335448
DAX;Top;Annual_BlackLitterman;2024;0.0294875251529918
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2016;0.19917594541453543
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2017;0.01051820151516969
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2018;0.10786788465977915
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2019;0.053479251980911746
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2020;-0.08371129454356929
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2021;-0.10721370579446832
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2022;0.03660765521762688
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2023;-0.051394215247711594
DAX;Top;Annual_BlackLitterman_MinusBenchmark;2024;-0.14218387675396427
DAX;Top;Annual_Equal;2015;0.1406847143242762
DAX;Top;Annual_Equal;2016;0.14692301243711126
DAX;Top;Annual_Equal;2017;0.13243814075718396
DAX;Top;Annual_Equal;2018;-0.174282343951361
DAX;Top;Annual_Equal;2019;0.31732715439041126
DAX;Top;Annual_Equal;2020;0.030946367882597636
DAX;Top;Annual_Equal;2021;0.10286995321447612
DAX;Top;Annual_Equal;2022;-0.12728909902027707
DAX;Top;Annual_Equal;2023;0.17496373049992453
DAX;Top;Annual_Equal;2024;0.11391464716777167
DAX;Top;Annual_Equal_MinusBenchmark;2015;0.016812014972910516
DAX;Top;Annual_Equal_MinusBenchmark;2016;0.07740021685301168
DAX;Top;Annual_Equal_MinusBenchmark;2017;-0.05939942203912851
DAX;Top;Annual_Equal_MinusBenchmark;2018;0.023860466770806
DAX;Top;Annual_Equal_MinusBenchmark;2019;0.10460690183542942
DAX;Top;Annual_Equal_MinusBenchmark;2020;0.014310314201164687
DAX;Top;Annual_Equal_MinusBenchmark;2021;-0.01370044971385942
DAX;Top;Annual_Equal_MinusBenchmark;2022;0.05659019723185721
DAX;Top;Annual_Equal_MinusBenchmark;2023;0.002497870555398407
DAX;Top;Annual_Equal_MinusBenchmark;2024;-0.04733141624248349
DAX;Top;Annual_MCap;2015;0.0802610125071801
DAX;Top;Annual_MCap;2016;0.11692535267591486
DAX;Top;Annual_MCap;2017;0.11614178419384391
DAX;Top;Annual_MCap;2018;-0.18414767126856157
DAX;Top;Annual_MCap;2019;0.3166309516663277
DAX;Top;Annual_MCap;2020;-0.013011585002885684
DAX;Top;Annual_MCap;2021;0.11711964662025709
DAX;Top;Annual_MCap;2022;-0.10353689125473409
DAX;Top;Annual_MCap;2023;0.18517920582543734
DAX;Top;Annual_MCap;2024;0.2330239586284073
DAX;Top;Annual_MCap_MinusBenchmark;2015;-0.002675305278362239
DAX;Top;Annual_MCap_MinusBenchmark;2016;0.054729635481477024
DAX;Top;Annual_MCap_MinusBenchmark;2017;-0.004063644180405834
DAX;Top;Annual_MCap_MinusBenchmark;2018;-0.007944978601413966
DAX;Top;Annual_MCap_MinusBenchmark;2019;0.04987315616781407
DAX;Top;Annual_MCap_MinusBenchmark;2020;-0.03946386515320299
DAX;Top;Annual_MCap_MinusBenchmark;2021;-0.03587398788674778
DAX;Top;Annual_MCap_MinusBenchmark;2022;0.02008240059371147
DAX;Top;Annual_MCap_MinusBenchmark;2023;-0.011263012260717242
DAX;Top;Annual_MCap_MinusBenchmark;2024;0.03858936725756967
DAX;Top;Annual_RiskParity;2016;0.16964593839385844
DAX;Top;Annual_RiskParity;2017;0.13297823279996157
DAX;Top;Annual_RiskParity;2018;-0.1677601331673252
DAX;Top;Annual_RiskParity;2019;0.32043710363113664
DAX;Top;Annual_RiskParity;2020;0.05540745463853236
DAX;Top;Annual_RiskParity;2021;0.07080779497514245
DAX;Top;Annual_RiskParity;2022;-0.1395419277173955
DAX;Top;Annual_RiskParity;2023;0.1634922583292322
DAX;Top;Annual_RiskParity;2024;0.15270320260144254
DAX;Top;Annual_RiskParity_MinusBenchmark;2016;0.09619936470678359
DAX;Top;Annual_RiskParity_MinusBenchmark;2017;0.018282683043907566
DAX;Top;Annual_RiskParity_MinusBenchmark;2018;0.012348387151134954
DAX;Top;Annual_RiskParity_MinusBenchmark;2019;0.05260762784306561
DAX;Top;Annual_RiskParity_MinusBenchmark;2020;0.029577942162481774
DAX;Top;Annual_RiskParity_MinusBenchmark;2021;-0.07319794848936034
DAX;Top;Annual_RiskParity_MinusBenchmark;2022;-0.020671658813265603
DAX;Top;Annual_RiskParity_MinusBenchmark;2023;-0.029433229037645003
DAX;Top;Annual_RiskParity_MinusBenchmark;2024;-0.030814816786091437
DAX;Top;BuyHold_Equal;2015;0.1406847143242762
DAX;Top;BuyHold_Equal;2016;0.1276958265846213
DAX;Top;BuyHold_Equal;2017;0.12623916569700921
DAX;Top;BuyHold_Equal;2018;-0.15099896430832005
DAX;Top;BuyHold_Equal;2019;0.3318629222027141
DAX;Top;BuyHold_Equal;2020;0.028376193683254947
DAX;Top;BuyHold_Equal;2021;0.0752405149898796
DAX;Top;BuyHold_Equal;2022;-0.21061372720346716
DAX;Top;BuyHold_Equal;2023;0.3007955001093825
DAX;Top;BuyHold_Equal;2024;0.2012601646866845
DAX;Top;BuyHold_Equal_MinusBenchmark;2015;0.016812014972910516
DAX;Top;BuyHold_Equal_MinusBenchmark;2016;0.05998282861522308
DAX;Top;BuyHold_Equal_MinusBenchmark;2017;-0.064292441356399
DAX;Top;BuyHold_Equal_MinusBenchmark;2018;0.052955946922256025
DAX;Top;BuyHold_Equal_MinusBenchmark;2019;0.11916510548523052
DAX;Top;BuyHold_Equal_MinusBenchmark;2020;0.01471441985120836
DAX;Top;BuyHold_Equal_MinusBenchmark;2021;-0.036945806318538166
DAX;Top;BuyHold_Equal_MinusBenchmark;2022;-0.030223021983731613
DAX;Top;BuyHold_Equal_MinusBenchmark;2023;0.11514601364802468
DAX;Top;BuyHold_Equal_MinusBenchmark;2024;0.028326526892997972
DAX;Top;BuyHold_MCap;2015;0.0802610125071801
DAX;Top;BuyHold_MCap;2016;0.09488026068082478
DAX;Top;BuyHold_MCap;2017;0.12313069929329346
DAX;Top;BuyHold_MCap;2018;-0.16972039798771676
DAX;Top;BuyHold_MCap;2019;0.2755986052227013
DAX;Top;BuyHold_MCap;2020;0.01834325730194708
DAX;Top;BuyHold_MCap;2021;0.1696228281171941
DAX;Top;BuyHold_MCap;2022;-0.13486338193155
DAX;Top;BuyHold_MCap;2023;0.274511944592954
DAX;Top;BuyHold_MCap;2024;0.195920900270528
DAX;Top;BuyHold_MCap_MinusBenchmark;2015;-0.002675305278362239
DAX;Top;BuyHold_MCap_MinusBenchmark;2016;0.03634731571138117
DAX;Top;BuyHold_MCap_MinusBenchmark;2017;-0.006226350187126584
DAX;Top;BuyHold_MCap_MinusBenchmark;2018;0.007459054415017707
DAX;Top;BuyHold_MCap_MinusBenchmark;2019;0.033579745830865315
