Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2015-2024;DAX;Bottom;Annual_MCap;120;-0.128;-0.622;0.5337;0.688;-0.211;-0.202;0.577;-1.537
2015-2024;DAX;Bottom;Annual_MCap_MinusBenchmark;120;-0.476;-2.424;0.0154;-0.222;0.282;-0.24;0.27;-5.716
2015-2024;DAX;Bottom;Annual_RiskParity;108;-0.176;-0.978;0.3282;0.677;0.037;-0.032;0.646;-2.107
2015-2024;DAX;Bottom;Annual_RiskParity_MinusBenchmark;108;-0.427;-1.959;0.0501;-0.206;0.292;-0.144;0.192;-5.122
2015-2024;DAX;Bottom;BuyHold_Equal;120;0.071;0.291;0.7708;0.763;-0.124;0.305;0.634;0.856
2015-2024;DAX;Bottom;BuyHold_Equal_MinusBenchmark;120;-0.15;-0.728;0.4667;-0.146;0.201;0.207;0.154;-1.8
2015-2024;DAX;Bottom;BuyHold_MCap;120;0.282;1.148;0.2511;0.708;-0.342;0.208;0.582;3.385
2015-2024;DAX;Bottom;BuyHold_MCap_MinusBenchmark;120;-0.063;-0.326;0.7441;-0.206;0.176;0.174;0.184;-0.753
2015-2024;DAX;Top;Annual_BlackLitterman;108;0.075;0.209;0.8341;0.97;-0.57;0.077;0.606;0.906
2015-2024;DAX;Top;Annual_BlackLitterman_MinusBenchmark;108;-0.182;-0.565;0.5721;0.085;-0.35;-0.066;0.038;-2.188
2015-2024;DAX;Top;Annual_Equal;120;0.223;0.88;0.3787;0.934;-0.511;0.223;0.687;2.67
2015-2024;DAX;Top;Annual_Equal_MinusBenchmark;120;0.003;0.019;0.9848;0.021;-0.178;0.115;0.066;0.035
2015-2024;DAX;Top;Annual_MCap;120;0.228;0.859;0.3906;0.945;-0.601;0.167;0.661;2.733
2015-2024;DAX;Top;Annual_MCap_MinusBenchmark;120;-0.098;-0.898;0.3691;0.031;-0.064;0.104;0.063;-1.173
2015-2024;DAX;Top;Annual_RiskParity;108;0.088;0.388;0.6977;0.867;-0.253;0.232;0.74;1.05
2015-2024;DAX;Top;Annual_RiskParity_MinusBenchmark;108;-0.113;-0.677;0.4984;-0.015;0.022;0.1;0.039;-1.361
2015-2024;DAX;Top;BuyHold_Equal;120;0.263;0.984;0.3253;1.017;-0.497;0.113;0.709;3.153
2015-2024;DAX;Top;BuyHold_Equal_MinusBenchmark;120;0.052;0.36;0.7191;0.104;-0.157;0.014;0.068;0.623
2015-2024;DAX;Top;BuyHold_MCap;120;0.256;0.926;0.3543;1.032;-0.556;0.208;0.696;3.076
2015-2024;DAX;Top;BuyHold_MCap_MinusBenchmark;120;-0.082;-0.73;0.4653;0.119;-0.012;0.137;0.21;-0.983
2015-2024;DAX;TopMinusBottom;Annual_BlackLitterman;108;0.012;0.031;0.9753;0.418;-0.706;0.009;0.174;0.146
2015-2024;DAX;TopMinusBottom;Annual_Equal;120;0.23;0.886;0.3756;0.183;-0.349;0.305;0.175;2.755
2015-2024;DAX;TopMinusBottom;Annual_MCap;120;0.208;0.912;0.3618;0.252;-0.37;0.354;0.239;2.491
2015-2024;DAX;TopMinusBottom;Annual_RiskParity;108;0.114;0.463;0.643;0.189;-0.274;0.251;0.157;1.364
2015-2024;DAX;TopMinusBottom;BuyHold_Equal;120;0.053;0.191;0.8485;0.247;-0.333;-0.192;0.151;0.638
2015-2024;DAX;TopMinusBottom;BuyHold_MCap;120;-0.185;-0.72;0.4715;0.317;-0.177;-0.009;0.206;-2.225
2015-2024;SP100;Bottom;Annual_BlackLitterman;108;-0.023;-0.087;0.931;0.853;-0.335;0.298;0.647;-0.273
2015-2024;SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;108;-0.163;-0.586;0.5578;-0.128;-0.085;0.36;0.203;-1.952
2015-2024;SP100;Bottom;Annual_Equal;120;0.076;0.477;0.6331;0.977;-0.195;0.199;0.8;0.914
2015-2024;SP100;Bottom;Annual_Equal_MinusBenchmark;120;-0.089;-0.6;0.5483;0.038;-0.096;0.005;0.016;-1.074
2015-2024;SP100;Bottom;Annual_MCap;120;0.069;0.44;0.6596;0.993;-0.348;0.117;0.811;0.831
2015-2024;SP100;Bottom;Annual_MCap_MinusBenchmark;120;-0.009;-0.05;0.9601;0.005;-0.1;0.181;0.089;-0.105
2015-2024;SP100;Bottom;Annual_RiskParity;108;-0.048;-0.28;0.7791;0.965;-0.242;0.222;0.807;-0.581
2015-2024;SP100;Bottom;Annual_RiskParity_MinusBenchmark;108;-0.144;-0.745;0.4563;-0.019;-0.001;0.287;0.186;-1.729
