Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2018;FRESENIUS SE ORD;DE0005785604;36092159696;64.3046;B;Healthcare
01.01.2018;LINDE ORD;DE000A2E4L75;NULL;78.8683;A-;Basic Materials
01.01.2018;DEUTSCHE POST ORD;DE0005552004;48841124914;79.6583;A-;Industrials
01.01.2018;ALLIANZ SE ORD;DE0008404005;84307807209;86.0753;A;Financials
01.01.2018;LUFTHANSA ORD;DE0008232125;14477090128;72.7059;B+;Industrials
01.01.2018;MUNICH RE ORD;DE0008430026;28021294371;86.1277;A;Financials
01.01.2018;CONTINENTAL ORD;DE0005439004;30598886138;83.9153;A;Consumer Cyclicals
01.01.2018;ADIDAS ORD;DE000A1EWWW0;34970485490;85.9114;A;Consumer Cyclicals
01.01.2018;DAIMLER ORD;DE0007100000;63439722686;91.0398;A;Consumer Cyclicals
01.01.2018;THYSSEN-KRUPP ORD;DE0007500001;11323154511;71.426;B+;Basic Materials
01.01.2018;COMMERZBANK KONV;DE000CBK1001;15660732213;75.2925;A-;Financials
01.01.2018;VONOVIA SE;DE000A1ML7J1;20078316368;60.3076;B;Real Estate
01.01.2018;DT BOERSE N;DE0005810055;18682400000;72.1851;B+;Financials
01.01.2019;BASF SE ORD;DE000BASF111;55476113118;90.1543;A;Basic Materials
01.01.2019;INFINEON TECHNOLOGIES ORD;DE0006231004;19744434211;78.711;A-;Technology
01.01.2019;SIEMENS ORD;DE0007236101;74616548750;83.3937;A;Industrials
01.01.2019;E.ON ORD;DE000ENAG999;18988881073;74.4683;B+;Utilities
01.01.2019;DEUTSCHE BANK ORD;DE0005140008;14399208404;81.6581;A-;Financials
01.01.2019;SAP SE ORD;DE0007164600;1.06E+11;93.5594;A+;Technology
01.01.2019;BAYER AG;DE000BAY0017;56475346940;89.7331;A;Healthcare
01.01.2019;RWE ST A ORD;DE0007037129;10919013389;67.9465;B+;Utilities
01.01.2019;COVESTRO ORD;DE0006062144;7892790000;73.9519;B+;Basic Materials
01.01.2019;HENKEL& KGAA PRF;DE0006048432;39274234556;70.6218;B+;Basic Materials
01.01.2019;DT TELEKOM N;DE0005557508;70564816393;76.741;A-;Technology
01.01.2019;LINDE PLC ORD;IE000S9YS762;74973396989;85.4764;A;Basic Materials
01.01.2019;MERCK ORD;DE0006599905;39121313462;85.0224;A;Healthcare
01.01.2019;VOLKSWAGEN PRF;DE0007664039;69693054103;82.7671;A-;Consumer Cyclicals
01.01.2019;BMW AG;DE0005190003;46014155946;83.1508;A-;Consumer Cyclicals
01.01.2019;BEIERSDORF ORD;DE0005200000;22972320000;60.9378;B;Consumer Non-Cyclicals
01.01.2019;HEIDELBGCEMENT ORD;DE0006047004;10591471542;78.9634;A-;Basic Materials
01.01.2019;FRESENIUS MEDICAL CARE ORD;DE0005785802;17438246849;80.0093;A-;Healthcare
01.01.2019;FRESENIUS SE ORD;DE0005785604;23572822027;75.1372;A-;Healthcare
01.01.2019;DEUTSCHE POST ORD;DE0005552004;29564876608;80.7169;A-;Industrials
01.01.2019;ALLIANZ SE ORD;DE0008404005;74339865028;94.8834;A+;Financials
01.01.2019;LUFTHANSA ORD;DE0008232125;9361647233;75.8796;A-;Industrials
01.01.2019;MUNICH RE ORD;DE0008430026;28494556792;85.6971;A;Financials
01.01.2019;CONTINENTAL ORD;DE0005439004;16417753922;78.9996;A-;Consumer Cyclicals
01.01.2019;ADIDAS ORD;DE000A1EWWW0;36555912326;86.2059;A;Consumer Cyclicals
01.01.2019;DAIMLER ORD;DE0007100000;41137255782;93.6784;A+;Consumer Cyclicals
01.01.2019;THYSSEN-KRUPP ORD;DE0007500001;7004784423;70.5769;B+;Basic Materials
01.01.2019;VONOVIA SE;DE000A1ML7J1;20510698766;73.3984;B+;Real Estate
01.01.2019;DT BOERSE N;DE0005810055;19940500000;73.1658;B+;Financials
01.01.2019;WIRECARD ORD;DE0007472060;16298300793;31.5278;C-;Industrials
01.01.2020;BASF SE ORD;DE000BASF111;61859540041;90.1139;A;Basic Materials
01.01.2020;INFINEON TECHNOLOGIES ORD;DE0006231004;25404911702;77.4804;A-;Technology
01.01.2020;SIEMENS ORD;DE0007236101;89297725800;83.3827;A;Industrials
01.01.2020;E.ON ORD;DE000ENAG999;25155920251;73.4225;B+;Utilities
01.01.2020;DEUTSCHE BANK ORD;DE0005140008;14295869747;85.4038;A;Financials
01.01.2020;SAP SE ORD;DE0007164600;1.47E+11;94.243;A+;Technology
01.01.2020;BAYER AG;DE000BAY0017;71530297410;89.8762;A;Healthcare
01.01.2020;RWE ST A ORD;DE0007037129;16813289398;65.4525;B;Utilities
01.01.2020;COVESTRO ORD;DE0006062144;7563390000;74.2806;B+;Basic Materials
01.01.2020;HENKEL& KGAA PRF;DE0006048432;38249470575;75.9373;A-;Basic Materials
01.01.2020;DEUTSCHE TELEKOM AG ORD;DE0005557508;69374451744;78.4796;A-;Technology
01.01.2020;LINDE PLC ORD;IE000S9YS762;1.02E+11;85.5805;A;Basic Materials
01.01.2020;MERCK ORD;DE0006599905;45803849447;85.6945;A;Healthcare
01.01.2020;VOLKSWAGEN PRF;DE0007664039;87465958595;86.8302;A;Consumer Cyclicals
01.01.2020;BMW AG;DE0005190003;47160473721;87.4807;A;Consumer Cyclicals
01.01.2020;BEIERSDORF ORD;DE0005200000;26875800000;64.5257;B;Consumer Non-Cyclicals
01.01.2020;HEIDELBGCEMENT ORD;DE0006047004;12889134346;75.7116;A-;Basic Materials
01.01.2020;MTU AERO ENGINES ORD;DE000A0D9PT0;13283585946;81.1793;A-;Industrials
01.01.2020;FRESENIUS MEDICAL CARE ORD;DE0005785802;20079957099;79.7414;A-;Healthcare
01.01.2020;FRESENIUS SE ORD;DE0005785604;27963838206;78.4913;A-;Healthcare
01.01.2020;DEUTSCHE POST ORD;DE0005552004;42053594874;86.2508;A;Industrials
01.01.2020;ALLIANZ SE ORD;DE0008404005;91110552406;93.7751;A+;Financials
01.01.2020;LUFTHANSA ORD;DE0008232125;7847164427;71.0515;B+;Industrials
01.01.2020;MUNICH RE ORD;DE0008430026;37955597443;85.6696;A;Financials
01.01.2020;CONTINENTAL ORD;DE0005439004;15671306993;81.0574;A-;Consumer Cyclicals
01.01.2020;ADIDAS ORD;DE000A1EWWW0;58080610703;89.8096;A;Consumer Cyclicals
01.01.2020;DAIMLER ORD;DE0007100000;44237558047;92.7205;A+;Consumer Cyclicals
01.01.2020;VONOVIA SE;DE000A1ML7J1;26029124679;72.7996;B+;Real Estate
01.01.2020;DEUTSCHE BOERSE AG ORD;DE0005810055;26628500000;74.2471;B+;Financials
01.01.2020;WIRECARD ORD;DE0007472060;13332726729;27.4035;C-;Industrials
01.01.2021;BASF SE ORD;DE000BASF111;59443941076;91.926;A+;Basic Materials
01.01.2021;INFINEON TECHNOLOGIES ORD;DE0006231004;40992864490;76.4556;A-;Technology
01.01.2021;SIEMENS ORD;DE0007236101;99892000000;84.6931;A;Industrials
01.01.2021;E.ON ORD;DE000ENAG999;23940913603;66.4716;B;Utilities
01.01.2021;DT WOHNEN ORD;DE000A0HN5C6;15721419124;70.9955;B+;Real Estate
01.01.2021;DEUTSCHE BANK ORD;DE0005140008;18495552749;85.2706;A;Financials
01.01.2021;SAP SE ORD;DE0007164600;1.31E+11;94.5184;A+;Technology
01.01.2021;BAYER AG;DE000BAY0017;47308631669;89.9633;A;Healthcare
01.01.2021;RWE ST A ORD;DE0007037129;23376927059;67.4966;B+;Utilities
01.01.2021;COVESTRO ORD;DE0006062144;9802968000;77.2501;A-;Basic Materials
01.01.2021;HENKEL& KGAA PRF;DE0006048432;36929338106;82.876;A-;Basic Materials
01.01.2021;DEUTSCHE TELEKOM AG ORD;DE0005557508;71207613303;83.0746;A-;Technology
01.01.2021;LINDE PLC ORD;IE000S9YS762;1.13E+11;86.1913;A;Basic Materials
01.01.2021;MERCK ORD;DE0006599905;61021075177;84.0877;A;Healthcare
01.01.2021;VOLKSWAGEN PRF;DE0007664039;81624611969;87.8512;A;Consumer Cyclicals
01.01.2021;BMW AG;DE0005190003;46621188188;86.7145;A;Consumer Cyclicals
